DRCINAACC-3# show mac address-table
Legend:
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False, C - ControlPlane MAC, ~ - vsan
   VLAN     MAC Address      Type      age     Secure NTFY Ports
+ 1044     000a.f773.eb60   dynamic  0         F      F    Po3
* 1044     0015.5d4a.6011   dynamic  0         F      F    Po3
* 1044     0015.5d4a.6016   dynamic  0         F      F    Po3
* 1044     0015.5d52.0148   dynamic  0         F      F    Po3
+ 1044     0015.5d9d.9420   dynamic  0         F      F    Po3
* 1044     0015.5da1.1290   dynamic  0         F      F    Po3
+ 1044     0015.5ddf.bd2b   dynamic  0         F      F    Po3
* 1044     0015.5dfa.1a16   dynamic  0         F      F    Po3
+ 1044     0022.bdf8.19ff   dynamic  0         F      F    Po3
* 1044     48df.378f.e37a   dynamic  0         F      F    Po3
* 1044     48df.378f.e948   dynamic  0         F      F    Po3
* 1044     80e0.1d58.9db2   dynamic  0         F      F    Po3
+ 1044     9ab9.0430.0003   dynamic  0         F      F    Po3
+ 1048     0015.5d09.5e12   dynamic  0         F      F    Po3
* 1048     0015.5d3c.1dab   dynamic  0         F      F    Po3
+ 1048     0015.5d71.3814   dynamic  0         F      F    Po3
* 1048     0015.5d78.9607   dynamic  0         F      F    Po3
* 1048     0015.5ddf.bd2c   dynamic  0         F      F    Po3
* 1048     0015.5ddf.bd2e   dynamic  0         F      F    Po3
* 1048     0015.5ddf.bd34   dynamic  0         F      F    Po3
+ 1048     0022.bdf8.19ff   dynamic  0         F      F    Po3
+ 1048     98be.940d.e830   dynamic  0         F      F    Po3
+ 1050     6c9c.ed42.61c2   dynamic  0         F      F    Po3
* 1050     6c9c.ed44.d142   dynamic  0         F      F    Po3
+ 1052     6c9c.ed42.61c2   dynamic  0         F      F    Po3
* 1052     6c9c.ed44.d142   dynamic  0         F      F    Po3
+ 1054     6c9c.ed42.61c2   dynamic  0         F      F    Po3
* 1054     6c9c.ed44.d142   dynamic  0         F      F    Po3
* 1056     3cfd.fe57.94f0   dynamic  0         F      F    Po3
+ 1056     3cfd.fe59.5670   dynamic  0         F      F    Po3
+ 1056     6c9c.ed42.61c2   dynamic  0         F      F    Po3
* 1056     a036.9fc5.8832   dynamic  0         F      F    Po3
* 1056     a036.9fc5.897e   dynamic  0         F      F    Po3
+ 1082     0025.b51a.000d   dynamic  0         F      F    Po3
+ 1082     0025.b51a.000f   dynamic  0         F      F    Po3
+ 1082     0025.b51a.002d   dynamic  0         F      F    Po3
+ 1082     0025.b51a.002e   dynamic  0         F      F    Po3
+ 1082     0025.b51a.002f   dynamic  0         F      F    Po3
+ 1082     0025.b51a.004d   dynamic  0         F      F    Po3
* 1082     0025.b51a.004e   dynamic  0         F      F    Po3
* 1082     0025.b51a.004f   dynamic  0         F      F    Po3
* 1082     0025.b51a.006d   dynamic  0         F      F    Po3
* 1082     0025.b51a.006e   dynamic  0         F      F    Po3
* 1082     0025.b51a.006f   dynamic  0         F      F    Po3
* 1082     0025.b51a.008d   dynamic  0         F      F    Po3
+ 1082     0025.b51a.008e   dynamic  0         F      F    Po3
+ 1082     0025.b51a.008f   dynamic  0         F      F    Po3
* 1082     0025.b51a.00cd   dynamic  0         F      F    Po3
* 1082     0025.b51a.00ce   dynamic  0         F      F    Po3
* 1082     0025.b51a.00cf   dynamic  0         F      F    Po3
