Interface                      Status         Protocol Description
Te5/3                          down           down     Connection to MBCA-MGMT-S1
Te5/4                          down           down     --
Te5/5                          down           down     --
Te5/6                          down           down     --
Te5/7                          down           down     --
Te5/8                          down           down     --
Te6/1                          up             up       Connection To MBCA-LAN-D Te2/5/6
Te6/2                          down           down     --
Te6/3                          down           down     --
Te6/4                          down           down     --
Te6/5                          down           down     --
Te6/6                          down           down     --
Te6/7                          down           down     --
Te6/8                          down           down     --
Gi7/1                          up             up       Testing LiveWire - 200565293
Gi7/2                          up             up       *** Surya Eka Putra ***
Gi7/3                          down           down     *** Andreani ***
Gi7/4                          up             up       Testing_SGT1
Gi7/5                          down           down     *** Sylvia Supriyatin ***
Gi7/6                          down           down     *** to EVP Room ***
Gi7/7                          up             up       *** to MBCA-LAN ***
Gi7/8                          up             up       *** to MBCA-LAN ***
Gi7/9                          up             up       *** Wihandi ***
Gi7/10                         up             up       *** Ekky Pramudito ***
Gi7/11                         up             up       *** Magang GSIT ITHC ***
Gi7/12                         up             up       *** Anita Tjahyono ***
Gi7/13                         down           down     *** Kevin Prabowo Tedjo ***
Gi7/14                         up             up       *** POC Wifi ARUBA - GKR ***
Gi7/15                         down           down     *** to EVP Room ***
Gi7/16                         down           down     *** Room DTI C - wall ***
Gi7/17                         up             up       *** Ferdinan Wirawan ***
Gi7/18                         up             up       *** Athika Cornelia Gunawan ***
Gi7/19                         up             up       *** Nur Afiani ***
Gi7/20                         up             up       *** Diksi Kresnawati ***
Gi7/21                         up             up       *** Christina Dewi ***
Gi7/22                         up             up       *** to MBCA-LAN ***
Gi7/23                         up             up       *** Peter Pratama M ***
Gi7/24                         down           down     *** Indri Dewi Sujono ***
Gi7/25                         up             up       *** to MBCA-LAN ***
Gi7/26                         up             up       *** to MBCA-LAN ***
Gi7/27                         down           down     *** Breakout Area ***
Gi7/28                         down           down     *** to MBCA-LAN ***
Gi7/29                         down           down     *** BIT Classroom, WSA2 Lt. 7 ***
Gi7/30                         down           down     * to MBCA-LAN *
Gi7/31                         down           down     *** to MBCA-LAN ***
Gi7/32                         down           down     
Gi7/33                         down           down     *** to MBCA-LAN ***
Gi7/34                         down           down     *** to MBCA-LAN ***
Gi7/35                         up             up       *** Samuel Martin ***
Gi7/36                         up             up       *** Ex Ferdinan Wirawan ***
Gi7/37                         up             up       *** Jennifer Yo ***
Gi7/38                         down           down     *** Rudyanto Sirait ***
Gi7/39                         down           down     *** Verina Armelia ***
Gi7/40                         up             up       *** Irwan Halim ***
Gi7/41                         up             up       *** to MBCA-LAN ***
Gi7/42                         up             up       *** Testing AP Aruba ***
Gi7/43                         up             up       *** Robby Dharmawan ***
Gi7/44                         down           down     *** Edin ***
Gi7/45                         down           down     
Gi7/46                         up             up       *** Dominikus Catur Edi Waseso ***
Gi7/47                         up             up       *** Henny Liani Senjaya ***
Gi7/48                         up             up       *** Tomi Rikkat ***
Gi8/1                          up             up       *** Jin Wei ***
Gi8/2                          down           down     *** Fenrico Chang ***
Gi8/3                          down           down     *** to MBCA-LAN ***
Gi8/4                          down           down     *** to MBCA-LAN ***
Gi8/5                          down           down     *** to MBCA-LAN ***
Gi8/6                          up             up       *** Robby Luisan ***
Gi8/7                          down           down     JAS
Gi8/8                          up             up       
Gi8/9                          up             up       *** Laptop CTC DWDM ***
Gi8/10                         down           down     *** Agustinus Manik ***
Gi8/11                         down           down     ***Connect to AP Temporary***
Gi8/12                         up             up       *** KJM ***
Gi8/13                         down           down     *** Astrid Novita ***
Gi8/14                         down           down     *** NIS D - Wildcard ***
Gi8/15                         up             up       *** POC NIS C ***
Gi8/16                         up             up       *** Verina Armelia ***
Gi8/17                         up             up       *** Jason Octaviano Iteh ***
Gi8/18                         up             up       *** Irvan Suryadi ***
Gi8/19                         up             up       *** Christian ***
Gi8/20                         up             up       ***YWK 1***
Gi8/21                         up             up       *** Nathanael Richie Thomas ***
Gi8/22                         up             up       *** to MBCA-LAN ***
Gi8/23                         up             up       ***bypass temp pak ywk***
Gi8/24                         down           down     *** Astrid Novita *** 
Gi8/25                         up             up       *** Hendric Fernando ***
Gi8/26                         down           down     *** Jeffry Susanto ***
Gi8/27                         down           down     *** Wijayanti A. Windarwati ***
Gi8/28                         down           down     *** Irine Marcella ***
Gi8/29                         down           down     *** Gita Kartika Sari ***
Gi8/30                         down           down     *** to MBCA-LAN ***
Gi8/31                         down           down     *** Andrew Handoko ***
Gi8/32                         down           down     *** Keyie Priarti ***
Gi8/33                         up             up       *** Nikson Librando Setiawan ***
Gi8/34                         up             up       *** Abdul Robby Rojabbul Ghoni ***
Gi8/35                         up             up       *** to MBCA-LAN ***
Gi8/36                         down           down     *** to MBCA-LAN ***
Gi8/37                         down           down     *** to MBCA-LAN ***
Gi8/38                         up             up       *** Netty Setiawan ***
Gi8/39                         up             up       *** Nanang Iskandar Zulkarnain ***
Gi8/40                         up             up       *** Gan diana ***
Gi8/41                         down           down     *** FRISKA MELISSA LATIF ***
Gi8/42                         up             up       *** Happy Christanti ***
Gi8/43                         up             up       *** to MBCA-LAN ***
Gi8/44                         up             up       *** Erni Gustin ***
Gi8/45                         up             up       *** Maria Angelita ***
Gi8/46                         up             up       *** Farisa Adelia ***
Gi8/47                         up             up       *** Willy Yacop Tjahyadi ***
Gi8/48                         up             up       *** Antonius Bambang Sutrisna ***
Gi9/1                          up             up       *** Daud Hendri ***
Gi9/2                          up             up       *** Laurensia Yenny ***
Gi9/3                          up             up       *** Temp Switch Extender untuk Vendor NIS C ***
Gi9/4                          down           down     *** Novatul Zanah ***
Gi9/5                          up             up       *** to MBCA-LAN ***
Gi9/6                          down           down     *** Steven Lavinske Santosa ***
Gi9/7                          down           down     *** Daniel Hendrikus ***
Gi9/8                          up             up       *** Diana Rafli ***
Gi9/9                          down           down     *** Ririn Sulistyani ***
Gi9/10                         down           down     *** Wasis Rochmahadi ***
Gi9/11                         up             up       *** Aditya Wijanarko ***
Gi9/12                         up             up       *** Darmawan Suria ***
Gi9/13                         up             up       *** Winprins ***
Gi9/14                         down           down     *** to MBCA-LAN ***
Gi9/15                         up             up       
Gi9/16                         up             up       *** Vindy Yonathan ***
Gi9/17                         down           down     *** T. Eka Putri ***
Gi9/18                         down           down     *** to MBCA-LAN ***
Gi9/19                         up             up       *** to MBCA-LAN ***
Gi9/20                         up             up       *** Risma Widyasari ***
Gi9/21                         down           down     *** to MBCA-LAN ***
Gi9/22                         up             up       *** to MBCA-LAN ***
Gi9/23                         down           down     *** to MBCA-LAN ***
Gi9/24                         down           down     *** MSI ***
Gi9/25                         down           down     *** to MBCA-LAN ***
Gi9/26                         down           down     *** MSI Branch Secondary ***
Gi9/27                         down           down     
Gi9/28                         up             up       *** Indra Tjahaja ***
Gi9/29                         up             up       *** to MBCA-LAN ***
Gi9/30                         down           down     *** to MBCA-LAN ***
Gi9/31                         up             up       *** MSI DC Secondary ***
Gi9/32                         up             up       *** MSI DC Primary ***
Gi9/33                         down           down     *** to MBCA-LAN ***
Gi9/34                         down           down     *** to MBCA-LAN ***
Gi9/35                         down           down     *** to MBCA-LAN ***
Gi9/36                         down           down     *** Denny Yosvita Pradana ***
Gi9/37                         down           down     *** POC Gigamon Netflow ***
Gi9/38                         down           down     *** POC Gigamon SPAN ***
Gi9/39                         down           down     *** to MBCA-LAN ***
Gi9/40                         down           down     *** to MBCA-LAN ***
Gi9/41                         down           down     *** to MBCA-LAN ***
Gi9/42                         down           down     *** to MBCA-LAN ***
Gi9/43                         down           down     *** to MBCA-LAN ***
Gi9/44                         up             up       *** Agus Wibawa ***
Gi9/45                         down           down     *** Nur Indani Sari ***
Gi9/46                         down           down     *** to MBCA-LAN ***
Gi9/47                         down           down     *** to MBCA-LAN ***
Gi9/48                         down           down     *** PC Absen ***
Gi10/1                         down           down     *** to MBCA-LAN ***
Gi10/2                         down           down     *** to MBCA-LAN ***
Gi10/3                         down           down     *** to MBCA-LAN ***
Gi10/4                         down           down     *** to MBCA-LAN ***
Gi10/5                         down           down     *** to MBCA-LAN ***
Gi10/6                         up             up       *** to MBCA-LAN ***
Gi10/7                         up             up       *** to MBCA-LAN ***
Gi10/8                         down           down     
Gi10/9                         down           down     *** to MBCA-LAN ***
Gi10/10                        down           down     *** to MBCA-LAN ***
Gi10/11                        down           down     *** to MBCA-LAN ***
Gi10/12                        down           down     *** to MBCA-LAN ***
Gi10/13                        up             up       *** to MBCA-LAN ***
Gi10/14                        up             up       *** to MBCA-LAN ***
Gi10/15                        up             up       ***Putri Sanggabuana***
Gi10/16                        down           down     *** to MBCA-LAN ***
Gi10/17                        up             up       *** to MBCA-LAN ***
Gi10/18                        up             up       *** to MBCA-LAN ***
Gi10/19                        up             up       *** to MBCA-LAN ***
Gi10/20                        up             up       *** to MBCA-LAN ***
Gi10/21                        up             up       *** to MBCA-LAN ***
Gi10/22                        up             up       *** to MBCA-LAN ***
Gi10/23                        up             up       *** to MBCA-LAN ***
Gi10/24                        up             up       *** to MBCA-LAN ***
Gi10/25                        down           down     *** to MBCA-LAN ***
Gi10/26                        down           down     *** to MBCA-LAN ***
Gi10/27                        down           down     *** to MBCA-LAN ***
Gi10/28                        down           down     *** to MBCA-LAN ***
Gi10/29                        down           down     *** to MBCA-LAN ***
Gi10/30                        down           down     *** to MBCA-LAN ***
Gi10/31                        down           down     *** to MBCA-LAN ***
Gi10/32                        down           down     *** to MBCA-LAN ***
Gi10/33                        down           down     *** to MBCA-LAN ***
Gi10/34                        down           down     *** to MBCA-LAN ***
Gi10/35                        down           down     *** MBCA LAN ***
Gi10/36                        down           down     *** to MBCA-LAN ***
Gi10/37                        down           down     *** to MBCA-LAN ***
