          Mac Address Table
-------------------------------------------

Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
 All    0100.0ccc.cccc    STATIC      CPU
1272    0072.7827.b0d2    STATIC      Gi4/0/4 
1272    00cc.fc17.eaaa    STATIC      Gi2/0/43 
1272    00cc.fca6.74db    STATIC      Gi4/0/48 
1272    00cc.fca6.898e    STATIC      Gi3/0/32 
1272    00cc.fca6.9c8b    STATIC      Gi8/0/1 
1272    00cc.fca6.9c91    STATIC      Gi9/0/18 
1272    00cc.fca6.9ca7    STATIC      Gi2/0/39 
1272    00cc.fca6.9de6    STATIC      Gi8/0/44 
1272    00cc.fca6.9e86    STATIC      Gi4/0/36 
1272    00cc.fca6.9ec5    STATIC      Gi7/0/24 
1272    00cc.fca6.9f0e    STATIC      Gi2/0/8 
1272    00cc.fca6.9fdd    STATIC      Gi2/0/41 
1272    00cc.fca6.a28a    STATIC      Gi8/0/2 
1272    0817.3514.9a0f    STATIC      Gi3/0/33 
1272    0817.3514.b076    STATIC      Gi4/0/5 
1272    0cd5.d39e.5274    STATIC      Gi1/0/15 
1272    0cd5.d39e.565e    STATIC      Gi2/0/5 
1272    0cd5.d39e.5663    STATIC      Gi1/0/37 
1272    0cd5.d39e.5677    STATIC      Gi7/0/5 
1272    2481.3bb1.a904    STATIC      Gi1/0/29 
1272    2481.3bb1.a917    STATIC      Gi4/0/45 
1272    2481.3bb1.a91a    STATIC      Gi8/0/43 
1272    2481.3bb1.a944    STATIC      Gi1/0/11 
1272    2481.3bb1.a949    STATIC      Gi7/0/1 
1272    2481.3bb1.a9a3    STATIC      Gi3/0/9 
1272    2481.3bb1.a9ac    STATIC      Gi4/0/24 
1272    2481.3bb1.a9ad    STATIC      Gi8/0/40 
1272    2c36.f858.d038    STATIC      Gi3/0/36 
1272    34a8.4e61.5c3b    STATIC      Gi9/0/15 
1272    3820.560d.1a73    STATIC      Gi7/0/6 
1272    4488.1649.f01d    STATIC      Gi1/0/27 
1272    4488.1649.f118    STATIC      Gi9/0/13 
1272    488b.0a2e.be08    STATIC      Gi4/0/35 
1272    488b.0a2e.be35    STATIC      Gi1/0/46 
1272    488b.0a2e.be45    STATIC      Gi8/0/23 
1272    488b.0a2e.be50    STATIC      Gi1/0/33 
1272    488b.0a2e.c31b    STATIC      Gi8/0/37 
1272    488b.0a2e.c518    STATIC      Gi7/0/20 
1272    488b.0a2e.c584    STATIC      Gi4/0/23 
1272    5ce1.7611.1e87    STATIC      Gi3/0/7 
1272    5ce1.7611.1eff    STATIC      Gi1/0/40 
1272    5ce1.7611.1f20    STATIC      Gi7/0/3 
1272    5ce1.7611.1f29    STATIC      Gi1/0/38 
1272    5ce1.7611.1f32    STATIC      Gi8/0/20 
1272    5ce1.7611.1f75    STATIC      Gi7/0/28 
1272    5ce1.7611.1f87    STATIC      Gi2/0/3 
1272    5ce1.7611.1f8a    STATIC      Gi4/0/46 
1272    5ce1.7611.1fb2    STATIC      Gi2/0/40 
1272    5ce1.7611.2b5f    STATIC      Gi2/0/21 
1272    5ce1.7611.2b65    STATIC      Gi9/0/5 
1272    5ce1.7611.2bc7    STATIC      Gi7/0/19 
1272    5ce1.7611.2be5    STATIC      Gi3/0/8 
1272    5ce1.7611.2beb    STATIC      Gi9/0/3 
1272    5ce1.7611.2bee    STATIC      Gi2/0/1 
1272    5ce1.7611.2bf6    STATIC      Gi4/0/34 
1272    5ce1.7611.2bfe    STATIC      Gi8/0/39 
1272    5ce1.7611.2c0c    STATIC      Gi4/0/41 
1272    5ce1.7611.2c2f    STATIC      Gi7/0/43 
1272    5ce1.7611.2c3d    STATIC      Gi4/0/40 
1272    5ce1.7611.2c97    STATIC      Gi7/0/37 
1272    6073.5c11.4382    STATIC      Gi9/0/14 
1272    6073.5c11.4383    STATIC      Gi1/0/35 
1272    6073.5c11.4387    STATIC      Gi7/0/41 
1272    6073.5c11.4388    STATIC      Gi2/0/31 
1272    6c8d.77d1.dd2b    STATIC      Gi1/0/14 
1272    6c8d.77d1.ddfa    STATIC      Gi1/0/31 
1272    6c8d.77d1.de30    STATIC      Gi8/0/16 
1272    70f3.5ad2.9b9e    STATIC      Gi8/0/24 
1272    70f3.5ad2.9c3e    STATIC      Gi8/0/46 
1272    70f3.5ad2.9db0    STATIC      Gi9/0/19 
1272    70f3.5ad2.b79d    STATIC      Gi4/0/42 
1272    70f3.5ad2.b7b6    STATIC      Gi8/0/30 
1272    70f3.5ad2.b7c7    STATIC      Gi7/0/9 
1272    70f3.5ad2.b7d4    STATIC      Gi2/0/42 
1272    70f3.5ad2.b7e6    STATIC      Gi2/0/36 
1272    70f3.5ad2.b7fa    STATIC      Gi7/0/26 
1272    70f3.5ad2.b862    STATIC      Gi7/0/18 
1272    70f3.5ad2.b8ca    STATIC      Gi8/0/42 
