RMP-SF-AGG01# show ip arp

Flags: * - Adjacencies learnt on non-active FHRP router
       + - Adjacencies synced via CFSoE
       # - Adjacencies Throttled for Glean
       CP - Added via L2RIB, Control plane Adjacencies
       PS - Added via L2RIB, Peer Sync
       RO - Re-Originated Peer Sync Entry
       D - Static Adjacencies attached to down interface

IP ARP Table for context default
Total number of entries: 112
Address         Age       MAC Address     Interface       Flags
10.254.141.85   00:03:48  0050.566b.fe15  Vlan958         + 
10.254.141.87   00:07:32  0050.5667.bbdd  Vlan958         + 
10.254.141.88   00:00:18  0050.566c.5838  Vlan958         + 
10.254.141.89   00:16:05  0050.566a.d895  Vlan958         + 
10.254.141.91   00:01:43  0050.5665.63e0  Vlan958         + 
10.254.141.92   00:15:51  0050.566c.f419  Vlan958         + 
10.254.141.94   00:05:18  0050.5668.c4a8  Vlan958         + 
10.254.141.96   00:09:59  0050.5661.fee0  Vlan958         + 
10.254.141.97   00:11:32  0050.566f.394a  Vlan958         + 
10.254.141.99   00:08:09  0050.566c.d820  Vlan958         + 
10.254.141.100  00:07:24  0050.5666.ff79  Vlan958         + 
10.254.141.101  00:04:02  0050.566e.0659  Vlan958         + 
10.254.141.102  00:13:01  0050.5664.5759  Vlan958         + 
10.254.141.103  00:00:12  0050.5666.685d  Vlan958         + 
10.254.141.104  00:00:38  0050.5662.27a7  Vlan958         + 
10.254.141.105  00:07:48  0050.5660.422b  Vlan958         + 
10.254.141.106  00:02:28  0050.5664.b984  Vlan958         + 
10.254.141.107  00:03:51  0050.566f.e794  Vlan958         + 
10.254.141.108  00:17:52  0050.5666.825e  Vlan958         + 
10.254.141.109  00:18:16  0050.566d.02ad  Vlan958         + 
10.254.141.110  00:04:48  0050.566d.b877  Vlan958         + 
10.254.141.111  00:00:09  0050.5667.25a0  Vlan958         + 
10.254.141.112  00:09:08  0050.566b.352b  Vlan958         + 
10.254.141.113  00:08:28  0050.5663.7a86  Vlan958         + 
10.254.141.114  00:10:55  0050.566f.cc96  Vlan958         + 
10.254.141.115  00:11:25  0050.5662.4af9  Vlan958         + 
10.254.141.118  00:13:38  0050.566b.1231  Vlan958         + 
10.254.141.122  00:17:15  0050.5668.06bc  Vlan958         + 
10.254.141.123  00:02:34  0050.566e.dc34  Vlan958         + 
10.254.141.124  00:03:19  0050.5669.6130  Vlan958         + 
10.254.141.125  00:00:05  0050.566d.07d6  Vlan958         + 
10.254.141.126  00:13:10  0050.5668.ab52  Vlan958         + 
10.254.137.67   00:11:02  f44e.0549.863f  Vlan951         
10.254.137.68   00:08:44  0050.566b.ef20  Vlan951         + 
10.254.137.70   00:17:18  0050.566b.072f  Vlan951         + 
10.254.137.71   00:00:38  0050.5664.cbea  Vlan951         
10.254.137.72   00:15:35  0050.5662.8ae4  Vlan951         + 
10.254.253.70   00:00:38  f44e.0549.863f  port-channel2   
10.254.251.129  00:05:24  f44e.0549.a67f  Ethernet1/4     
10.254.251.137  00:06:21  7426.acfa.b9bf  Ethernet2/4     
10.254.141.1       -      0000.0c9f.f3be  Vlan958         
10.254.137.65      -      0000.0c9f.f3b7  Vlan951         
